,text,start,duration
720,All right.,1992.74,1.11
721,"So if you'd like to stand, roughly,
side by side, here in the middle",1993.85,3.21
722,of the stage.,1997.06,0.77
723,"First of all, thank you.",2000.43,2.1
724,Let's see.,2002.53,0.5
725,"1, 2, 3, 4, 5, 6, 7, perfect.",2003.03,2.22
726,OK.,2005.25,0.63
727,"And let's go all the way
over to this place, here.",2005.88,4.02
728,"If you would like to introduce
yourself to the class.",2009.9,2.7
729,RACHEL RICHEY: I'm Rachel Richey.,2012.6,1.818
730,DAVID J. MALAN: OK.,2014.418,0.792
731,And what year?,2015.21,0.918
732,Anything about you?,2016.128,0.792
733,"RACHEL RICHEY: Oh, first
year, concentrating in CS.",2016.92,1.995
734,DAVID J. MALAN: OK.,2018.915,0.792
735,Welcome to the stage.,2019.707,0.963
736,Next.,2020.67,0.54
737,SPEAKER: Hi.,2021.21,0.87
738,"I'm [? Kang. ?] Also a
first-year concentrating in CS.",2022.08,4.11
739,SPEAKER: Hello.,2026.19,1.2
740,"My name is [? Lam. ?] I'm a [INAUDIBLE]
student from education department.",2027.39,5.275
741,DAVID J. MALAN: Nice.,2032.665,0.875
742,OK.,2033.54,0.27
743,Next.,2033.81,0.558
744,JORDAN MITTLER: Hi.,2034.368,0.792
745,"I'm Jordan Mittler, concentrating
in economics and maybe some CS.",2035.16,3.96
746,"SPEAKER: So, hi.",2039.12,0.99
747,"I'm [? Natalia. ?] First
year, and I want to do CS.",2040.11,2.535
748,SPEAKER: Hi.,2042.645,0.79
749,"I'm [? Khadija. ?] I'm a
first-year, and I want to do CS.",2043.435,2.375
750,DAVID J. MALAN: [LAUGHS].,2045.81,1.27
751,SPEAKER: Hello.,2047.08,0.95
752,"I'm [? Caleb. ?] And, once again,
first year, concentrating in CS.",2048.03,3.388
753,DAVID J. MALAN: OK.,2051.418,0.792
754,Wonderful.,2052.21,0.5
755,"A pattern, yes.",2052.71,1.06
756,Thank you.,2053.77,0.57
757,Thank you.,2054.34,0.54
758,[APPLAUSE],2054.88,1.089
759,"So, if you haven't guessed
already, each of these volunteers",2055.969,4.041
760,"is going to represent a bit, from
left to right, or right to left,",2060.01,3.419
761,in this case.,2063.429,0.581
762,So let's see.,2064.01,0.74
763,"If you want to represent--
how about the twos place?",2064.75,2.969
764,"How about the fours place, the eighths
place, 16ths place, 32's, 64, and 128?",2067.719,9.631
765,"Although, wait a-- I think I screwed up.",2077.35,1.71
766,We needed one-- eighth volunteer.,2079.06,1.829
767,"I think you know-- well, I think--",2080.889,2.085
768,[CLEARS THROAT] Spot?,2082.974,2.356
769,OK.,2085.33,0.778
770,Come on over.,2086.108,0.542
771,"If you guys could step forward a
little bit, and then scooch this way,",2086.65,2.917
772,just to give Spot some room.,2089.567,1.523
773,[FOOTSTEPS],2091.09,1.56
774,So Spot will represent the ones place.,2092.65,2.589
775,"Now, what our volunteers have on
the back of their sheets of paper",2095.239,3.201
776,are little instructions.,2098.44,1.23
777,"We're going to spell out a three-letter
word in English by using three bytes,",2099.67,5.79
778,"from left to right, because
now we have eight volunteers.",2105.46,2.71
779,"I'm going to propose that you
raise your hand, if you're",2108.17,2.333
780,supposed to represent a 1.,2110.503,1.682
781,"Or you just stand there,
without raising your hand,",2112.185,2.125
782,if you're meant to represent a 0.,2114.31,1.47
783,"And what we'll have the
audience do is do the quick math",2115.78,2.67
784,"to figure out-- one, two, three--
each letter, what number is it.",2118.45,3.72
785,What letter is it?,2122.17,1.26
786,"And we'll see what word that
we have finally spelled.",2123.43,2.94
787,All right.,2126.37,0.51
788,"So, in round one--",2126.88,1.53
789,"you have instructions on your back
of your sheet that will tell you to--",2128.41,3.0
790,what your number is.,2131.41,1.17
791,"If you're 0, stand there.",2132.58,1.08
792,"If you're a 1, raise your hand.",2133.66,1.35
793,[PAPER RUSTLING],2137.7,2.36
794,"What number do these guys
seem to be representing?",2140.06,3.36
795,AUDIENCE: 68.,2143.42,1.14
796,"DAVID J. MALAN: 66, I think.",2144.56,1.8
797,"64 plus 2, so 66, which is the letter--",2146.36,3.135
798,AUDIENCE: B.,2149.495,0.765
799,"DAVID J. MALAN: OK, so,
B. OK, so, B. All right.",2150.26,2.67
800,Hands down.,2152.93,1.54
801,"Second letter is going
to be spelled how?",2154.47,3.095
802,[SPOT LANDS ON THE STAGE],2161.16,1.042
803,AUDIENCE: Whoa.,2162.202,0.625
804,AUDIENCE: Whoa.,2162.827,0.703
805,AUDIENCE: Whoa.,2163.53,1.299
806,DAVID J. MALAN: [LAUGHS] All right.,2164.829,2.741
807,What are we spelling now?,2167.57,2.1
808,[INDISTINCT CHATTER],2169.67,1.965
809,"I think-- psst, yep, OK.",2171.635,3.945
810,"Yeah, I think you're one.",2175.58,1.501
811,[LAUGHTER],2177.081,2.409
812,OK.,2179.49,1.49
813,Now what number are we spelling?,2180.98,2.45
814,AUDIENCE: 79,2183.43,0.94
815,"DAVID J. MALAN: 79, I
heard, which is the letter?",2184.37,2.4
816,AUDIENCE: O.,2186.77,0.613
817,DAVID J. MALAN: O. OK.,2187.383,0.917
818,So hands down.,2188.3,1.02
819,"Thank you, Spot.",2189.32,0.78
820,One final flourish.,2190.1,1.36
821,So we've spelled B-O--,2191.46,1.79
822,"third letter, go ahead.",2193.25,1.605
823,[SPOT LANDS ON THE STAGE],2197.942,2.288
824,"What number, now, is this?",2200.23,2.655
825,AUDIENCE: 87.,2202.885,0.93
826,AUDIENCE: 87.,2203.815,0.645
827,"DAVID J. MALAN: I heard it here, 80--",2204.46,1.0
828,AUDIENCE: Seven.,2205.46,0.86
829,"DAVID J. MALAN: --seven, which is?",2206.32,0.555
830,AUDIENCE: W.,2206.875,0.63
831,"DAVID J. MALAN: W, which,
of course, spells ""bow.""",2207.505,2.115
832,"So if our volunteers could
take a bow, Spot included.",2209.62,3.817
833,[APPLAUSE],2213.437,3.199
834,"So this will make more
sense in week one,",2218.01,3.53
835,"when we have an assignment involving
a certain someone from the Nintendo",2221.54,3.21
836,World.,2224.75,0.15
837,"But we have a lovely parting
gift for each of you.",2224.9,1.86
838,SPEAKER: Thank you.,2226.76,0.75
839,[LAUGHS],2227.51,0.12
840,"DAVID J. MALAN: Thank
you for volunteering.",2227.63,0.55
841,SPEAKER: Thanks.,2228.18,0.8
842,"DAVID J. MALAN: You might need to
share it with the folks next to you.",2228.98,2.917
843,[CHATTER],2231.897,3.209
844,"Oop, here we go.",2238.6,0.87
845,There we go.,2239.47,0.5
846,Thank you--,2239.97,0.39
847,SPEAKER: Thank you.,2240.36,0.72
848,RACHEL RICHEY: Thank you.,2241.08,0.3
849,DAVID J. MALAN: --so much.,2241.38,0.18
850,"One more round of applause, if
we could, for our volunteers.",2241.56,1.69
851,Thank you.,2243.25,0.56
852,[APPLAUSE],2243.81,0.924
853,Did you lose something?,2244.734,1.386
854,OK.,2246.12,1.37
855,All right.,2247.49,0.54
856,"So, [LAUGHS] Spot's had it.",2248.03,3.16
857,"So let's see, then,
if we've solved, now,",2251.19,2.87
858,"the problem of representing
English letters of the alphabet,",2254.06,2.58
859,"being able to spell out words like
""bow,"" B-O-W. What if we actually do",2256.64,3.21
860,have accented characters?,2259.85,1.36
861,"What if we do have other glyphs
that we want to represent?",2261.21,2.673
862,"Well, here, of course, is a standard
US English keyboard, which a lot of you",2263.883,3.167
863,might have.,2267.05,0.6
864,"But there's also characters
that you can type much more",2267.65,2.61
865,"easily if you have a foreign
keyboard, relative to the US,",2270.26,2.67
866,"or with certain keystrokes on
your own Mac, PC, and phone.",2272.93,2.85
867,"But, nowadays, too, there's
this menu that, probably, you've",2275.78,3.45
868,"used in the past hour or two
to actually send some emoji.",2279.23,4.17
869,"An emoji, even though
they look like pictures",2283.4,2.64
870,"and they actually are
pictures on the screen,",2286.04,2.04
871,"they're, technically, just characters,
characters of an emoji alphabet",2288.08,5.04
872,"that happened to use a certain
pattern of 0's and 1's to represent",2293.12,3.21
873,"each of these faces, each of these
people, and places, and things.",2296.33,3.55
874,"And it turns out that one of
the reasons that we have just",2299.88,2.66
875,"so many [LAUGHS] such characters
nowadays is because we now",2302.54,6.7
876,use Unicode instead of ASCII.,2309.24,2.13
877,"So Unicode is a superset,
so to speak, of ASCII,",2311.37,3.0
878,"which is to say that we, humans,
realized, some time ago, that just",2314.37,3.66
879,"using eight bits to represent
letters of the alphabet",2318.03,2.34
880,"certainly isn't very good
when we want to represent",2320.37,2.7
881,"other, non-English languages.",2323.07,1.89
882,So Unicode doesn't just use eight bits.,2324.96,2.28
883,"It sometimes uses 16 bits per character,
sometimes 24 bits per character,",2327.24,5.28
884,"and sometimes even 32
bits per character.",2332.52,3.09
885,"Now, why those numbers?",2335.61,1.08
886,"That's just one byte, two bytes,
three bytes, or four bytes.",2336.69,3.99
887,And that gives us--,2340.68,1.452
888,does anyone know?,2342.132,0.708
889,"That gives us the ability
to represent as many as 4",2342.84,3.54
890,billion possible characters.,2346.38,2.25
891,"Because if the longest one is
32 bits, that's 2 to the 32,",2348.63,3.52
892,"which, if you do out the math,
trust me, is roughly 4 billion.",2352.15,2.94
893,So that's a lot of characters.,2355.09,1.34
894,"And we've got a lot of
room, then, for these emoji.",2356.43,2.61
895,"But it's not just about having
fun, pictorially, on the screen.",2359.04,3.09
896,"Unicode's mission really is to represent
and to preserve all human languages",2362.13,5.7
897,"digitally, both past,
present, and future.",2367.83,3.7
898,"So it is really about capturing
the entirety of human knowledge,",2371.53,3.89
899,"as we've expressed it
in language, but also",2375.42,2.01
900,"giving this newfound ability that's been
used centuries ago, too-- in writings,",2377.43,4.59
901,"on walls, and the like--
pictograms via which",2382.02,2.28
902,"we can still communicate,
even independently",2384.3,2.34
903,of our own human language.,2386.64,1.39
904,"So we'll reduce it, today, to
just patterns of 0's and 1's, but",2388.03,3.29
905,"the problem being solved is much greater
and well-beyond CS, itself, there.",2391.32,4.87
906,"So here is a pattern
of 0's and 1's using",2396.19,2.42
907,"Unicode, so more than eight bits, that
represents a very popular emoji, which",2398.61,5.7
908,might be a bit of a hint.,2404.31,1.78
909,"This is the most popular emoji,
as of last year, at least,",2406.09,2.78
910,"statistically, internationally.",2408.87,1.46
911,[INTERPOSING VOICES],2410.33,2.748
912,DAVID J. MALAN: Does this help?,2413.078,1.292
913,"It's, roughly, this number here.",2414.37,2.15
914,No?,2416.52,0.72
915,It's this one here.,2417.24,1.84
916,"So this is the most popular emoji,
by most measures, as of last year.",2419.08,4.28
917,But it doesn't always look like this.,2423.36,1.81
918,"Those of you who have a Mac or an
iPhone recognize this symbol, perhaps,",2425.17,3.02
919,immediately.,2428.19,0.5
920,"Those of you with Android
devices or other platforms",2428.69,2.41
921,"might notice that it's the same idea,
but it's a little bit different.",2431.1,4.21
922,"And this is because, too,
emojis, at the end of the day,",2435.31,3.35
923,"just represent character, but
those characters can be drawn,",2438.66,2.76
924,can be painted in different ways.,2441.42,1.65
925,"And reasonable people
will interpret differently",2443.07,3.06
926,"this emoji, whose official name
is ""face with tears of joy.""",2446.13,3.75
927,"And, indeed, Google interprets
it a little differently",2449.88,2.25
928,"from Apple, versus Microsoft, versus
Meta, versus other companies, as well.",2452.13,3.683
929,"So you can almost think of
those different companies",2455.813,2.167
930,as having different fonts for emoji.,2457.98,2.25
931,"And that really starts to connect things
to the world of text and characters.",2460.23,3.93
932,"So, just so you've seen it.",2464.16,1.56
933,"More on this, another time.",2465.72,1.39
934,"It turns out that emoji and,
really, characters, in general,",2467.11,3.87
935,"we don't use binary 0's
and 1's to represent them",2470.98,2.45
936,"because no one, myself included,
is going to recognize what's what.",2473.43,2.31
937,It's just too much math.,2475.74,0.78
938,It's not interesting.,2476.52,0.96
939,"And even decimal numbers--
that was 4 billion or some--",2477.48,2.4
940,I don't remember which number is which.,2479.88,2.38
941,"So we represent things
a little more compactly.",2482.26,2.15
942,"And this, too, admittedly,
still looks cryptic,",2484.41,2.1
943,"but this is a Unicode code point that
uses another system, mathematically,",2486.51,4.26
944,called base-16 or hexadecimal.,2490.77,2.7
945,"More on that, another time.",2493.47,1.2
946,"But it's just a way of representing
numbers even more succinctly,",2494.67,3.42
947,"writing less on the screen,
because you're using not just 0",2498.09,3.18
948,"through 9, as in decimal.",2501.27,1.32
949,"But you're using A through
F, as well, so a few letters",2502.59,3.42
950,of the English alphabet come into play.,2506.01,1.66
951,"But, for now, that's
just a little easier",2507.67,2.03
952,"to remember, too, for people who
care, that that is the number that",2509.7,4.05
953,"represents ""face with tears of joy.""",2513.75,2.13
954,But what if we want a customized emoji?,2515.88,2.13
955,"And this, increasingly, is the case.",2518.01,1.77
956,"Here, for instance,
are the five skin tones",2519.78,2.13
957,"that phones, and laptops, and
desktops, nowadays, support.",2521.91,2.85
958,"It's based on something called the
""Fitzpatrick scale,"" which essentially",2524.76,3.042
959,"categorizes human skin tone
into six or, in this case, five",2527.802,2.658
960,"different categories,
from lighter to darker.",2530.46,2.1
961,"But this suggests that, wow,
if we want to represent people",2532.56,4.92
962,"with five different skin tones,
like this, that could significantly",2537.48,4.56
963,"increase how many unique
patterns of 0's and 1's we",2542.04,3.09
964,need for every possible face.,2545.13,1.76
965,"But if we think about it from
an engineering perspective,",2546.89,2.65
966,"we can actually just think of skin
tone as modifying some default",2549.54,3.528
967,"color, for better or for worse.",2553.068,1.292
968,"And yellow is the de facto
default, Simpson style.",2554.36,3.09
969,"But to modify it to look more genuinely
human-like, from lighter to darker,",2557.45,3.9
970,"well, maybe we just use
the same pattern of bits",2561.35,2.64
971,"to represent a human thumb, for
instance, thumbs up or thumbs down.",2563.99,3.73
972,"And we just, then, modify that character
to be displayed with a different skin",2567.72,3.49
973,tone.,2571.21,0.5
974,"So, for instance, here,
then, is the ""thumbs up""",2571.71,2.24
975,that you might use on various platforms.,2573.95,1.8
976,"And let me just stipulate that
this is the Unicode code point.",2575.75,3.45
977,"That is the number that
Macs, PCs, and phones",2579.2,2.67
978,"use underneath the hood to represent
the default yellow ""thumbs up.""",2581.87,4.09
979,"But if you want to give
it a medium skin tone,",2585.96,2.81
980,"you still use that same number,
that same pattern of 0's and 1's,",2588.77,3.6
981,"or switches, underneath the hood.",2592.37,1.56
982,"But you use a few more switches
that the computer or phone",2593.93,3.69
983,"will interpret as, ""Oh, you don't
want to see the default in yellow",2597.62,3.18
984,"because of this second number that's
in the computer's memory somewhere.",2600.8,3.09
985,"You want me to adjust it to
be the medium skin tone or any",2603.89,3.28
986,"of the other values, instead.""",2607.17,1.84
987,"So that's the engineering
solution to this problem",2609.01,2.57
988,"of just trying to represent
different ranges of emoji here.",2611.58,3.498
989,"Well, what about something like this?",2615.078,1.542
990,"There's a lot more
combinatorics, nowadays,",2616.62,1.86
991,"on your keyboard for
relationships, for instance.",2618.48,2.042
992,"So here is a ""couple with heart"" here.",2620.522,3.098
993,"So the couple, here, of course,
is represented with, apparently,",2623.62,2.9
994,this number here.,2626.52,1.08
995,But that's it.,2627.6,0.655
996,"But if you want to be more
specific-- like man and woman,",2628.255,2.375
997,"or man-man, woman-woman--
it's the same idea,",2630.63,2.61
998,"but we just need to express
ourselves a little-- with a little",2633.24,3.39
999,more information.,2636.63,0.97
1000,"So, for instance, the way the
Unicode folks came up with,",2637.6,2.96
1001,"years ago, to represent, for instance,
a woman with a heart and a man,",2640.56,3.27
1002,"from left to right, would
be using these values.",2643.83,2.65
1003,"So things just escalated
quickly, but only",2646.48,2.42
1004,"in the sense that we're using more
bits, more 0's and 1's, to represent,",2648.9,3.66
1005,"more expressively, this
particular combination.",2652.56,2.91
1006,"So this happens to be
the number in Unicode",2655.47,2.58
1007,that represents the woman at left.,2658.05,1.74
1008,"This is the number that
represents the man at right.",2659.79,2.64
1009,"And this is the pair of
numbers that represents",2662.43,2.73
1010,"the heart in the middle, sometimes red,
sometimes pink, displayed here as pink.",2665.16,4.39
1011,"But if we want to change the
combination, for instance, to be,",2669.55,2.96
1012,"say, woman--",2672.51,1.41
1013,"if we want to change the
combination to be woman-woman,",2673.92,2.4
1014,"notice that, now, the left and
the rightmost numbers match.",2676.32,2.88
1015,"Or if we flip it back to man-man,
it's just using different numbers",2679.2,3.09
1016,on the tail end again.,2682.29,1.5
1017,"And meanwhile, if I rewind, there's
these two identical values here.",2683.79,4.59
1018,"These are called zero-width
joiners or ZWNJ characters.",2688.38,3.3
1019,"It just is a special number
that humans reserve to say,",2691.68,3.78
1020,"glue the emoji at the left to the
emoji on the right and so forth.",2695.46,4.75
1021,So it connects ideas in this way.,2700.21,2.16
1022,"So there's actually a
lot of emojis, nowadays,",2702.37,2.12
1023,"that are a combination
of different things.",2704.49,2.88
1024,"""Heart on fire"" is one
that's, technically,",2707.37,2.28
1025,"the combination of a heart
emoji, the fire emoji,",2709.65,3.54
1026,"joined together,
numerically, in this way.",2713.19,2.92
1027,"So computer scientists who
come up with these things",2716.11,2.18
1028,"are just reducing things
to representations.",2718.29,3.0
1029,"All we have at our
disposal are 0's and 1's.",2721.29,2.14
1030,"So we all just need
to agree, ultimately--",2723.43,1.82
1031,"whether we're Google, Microsoft, or the
like-- how we're going to standardize",2725.25,3.51
1032,these kinds of things as information.,2728.76,2.27
1033,"Questions, then, on how characters
are represented in a computer,",2731.03,5.49
1034,be it English or any other language?,2736.52,1.74
1035,Yeah.,2738.26,0.5
1036,AUDIENCE: How is the plus a number?,2738.76,1.87
1037,DAVID J. MALAN: How is the what?,2740.63,1.333
1038,"AUDIENCE: The plus, the U+.",2741.963,1.967
1039,"DAVID J. MALAN: Oh, the U+
is just a convention, really.",2743.93,2.67
1040,"So U+ represents a
special Unicode character,",2746.6,3.22
1041,which is a U with a plus in the middle.,2749.82,1.97
1042,"And this is just the
convention for saying,",2751.79,2.8
1043,"hey, everyone, here comes a number
that represents a Unicode code point.",2754.59,4.01
1044,The U and the 1 have no-- sorry.,2758.6,1.47
1045,"The U and the plus have no
mathematical significance.",2760.07,2.208
1046,It's just a visual clue to folks.,2762.278,3.192
1047,"Other questions on
representing text in this way?",2765.47,4.99
1048,All right.,2770.46,0.5
1049,So what about colors?,2770.96,1.28
1050,"We've already started
looking at pictures.",2772.24,1.75
1051,"Well, how are those pictures, be it
emojis or anything else, represented?",2773.99,3.042
1052,"One of the most common
ways is just with RGB--",2777.032,2.838
1053,"red, green, and blue.",2779.87,1.08
1054,"It turns out that if we just
keep track of how much red should",2780.95,3.75
1055,"be on the screen, and how much green,
and how much blue, combined together,",2784.7,3.18
1056,"that gives us every
color of the rainbow,",2787.88,2.01
1057,"from white to black and
everything in between.",2789.89,2.23
1058,"So how do we represent an amount
of red, and green, and blue?",2792.12,3.5
1059,"Well, frankly, just with
three different numbers.",2795.62,2.07
1060,"And this is how computers
typically represent colors.",2797.69,2.34
1061,"Every one of the dots on your
computer screen or your phone screen",2800.03,3.19
1062,is called a pixel.,2803.22,1.17
1063,"And every single dot underneath the hood
has three numbers associated with it,",2804.39,5.74
1064,"so three numbers, three numbers,
three numbers for every little dot.",2810.13,2.87
1065,"And those three numbers, together,
say how much red, green, and blue",2813.0,3.42
1066,"should the device
display at that location.",2816.42,2.62
1067,"So, for instance, if you
had a dot on your screen",2819.04,3.35
1068,"that said, ""use this much red, this
much green this much blue,"" because each",2822.39,5.13
1069,"of these numbers, I'll tell
you, are one byte or eight bits,",2827.52,4.3
1070,"which means the total
possible values is 0 to 255--",2831.82,3.89
1071,"let me just ballpark that the 72,
it feels like a medium amount of red",2835.71,3.36
1072,because it's in between 0 and 255.,2839.07,2.28
1073,"73 is a medium amount of green, and
33 of blue is just a little bit.",2841.35,4.24
1074,"So if you combine a medium amount of
red, green, and a little bit of blue,",2845.59,3.89
1075,"anyone want to guess what
color of the rainbow this is?",2849.48,3.36
1076,AUDIENCE: Brown.,2852.84,0.667
1077,DAVID J. MALAN: Sorry?,2853.507,0.916
1078,AUDIENCE: Brown.,2854.423,0.767
1079,DAVID J. MALAN: Brown?,2855.19,1.28
1080,"So, close.",2856.47,0.758
1081,"It's a little more
yellow than it is brown.",2857.228,1.792
1082,"But if we combine them, it looks
a little something like this.",2859.02,2.9
1083,"This is just CS trivia,
not something that even",2861.92,1.967
1084,"I would be able to eyeball, unless I
came up with that particular example.",2863.887,3.083
1085,But wait a minute.,2866.97,1.637
1086,We've seen these numbers before.,2868.607,1.333
1087,"72, 73, 33 represented what--",2869.94,1.828
1088,AUDIENCE: Hi!,2871.768,0.542
1089,DAVID J. MALAN: --a few minutes ago?,2872.31,1.06
1090,"So it meant ""Hi!"" but here I
am, claiming, no, no, no, no,",2873.37,2.417
1091,that means yellow.,2875.787,1.353
1092,How do you reconcile this?,2877.14,1.75
1093,"Well, at the end of the
day, this is all we have,",2878.89,2.66
1094,"0's and 1's, whether you
think of them as numbers,",2881.55,2.76
1095,"or letters, or even colors now.",2884.31,2.31
1096,But it depends on the context.,2886.62,1.78
1097,"So if you've received a
text message or an email,",2888.4,2.99
1098,"odds are the pattern of 0's
and 1's that the computer",2891.39,2.46
1099,"is showing you are going to be
interpreted as text because that's",2893.85,3.45
1100,"the whole point of a
text message or an email.",2897.3,2.64
1101,"If, though, you opened up MacOS's
or iOS's or Windows's or Android's",2899.94,3.99
1102,"calculator app, the same
pattern of 0's and 1's might",2903.93,3.3
1103,"be interpreted as numbers for some
addition, or subtraction, or whatever.",2907.23,3.42
1104,"If you open the same pattern
of 0's and 1's in Photoshop,",2910.65,3.13
1105,"like a graphics program, they're going
to be interpreted, in that context,",2913.78,3.33
1106,as colors.,2917.11,0.84
1107,So context matters.,2917.95,1.148
1108,"And, indeed, as soon
as next week, when you",2919.098,1.792
1109,"start writing code in
that language called C,",2920.89,2.19
1110,"the onus will be on you, the programmer,
to tell the computer, interpret",2923.08,4.47
1111,"the following sequence of bits as a
number, or a letter, or something else.",2927.55,5.043
1112,"And you won't have to even worry
about what the 0's and 1's are,",2932.593,2.667
1113,"but you need to give the computer
a hint as to what type of file",2935.26,3.12
1114,or piece of data you're representing.,2938.38,2.35
1115,So that gives us bits.,2940.73,1.16
1116,"And you can actually see these
dots, these pixels on the screen.",2941.89,3.75
1117,"Let me zoom in, zoom in.",2945.64,1.74
1118,"And here we have it, just with this
emoji, which, at the end of the day,",2947.38,3.09
1119,"is a picture that someone at
Apple, in this case, drew.",2950.47,2.91
1120,"And you can see-- if you really
zoom in, or take your phone or TV",2953.38,3.06
1121,"and really put it close to your
face, you'll see all of these dots,",2956.44,3.03
1122,depending on the hardware.,2959.47,1.23
1123,"And each of these
dots, these squares, is",2960.7,2.55
1124,"storing 24 bits or three bytes,
24 bits, 24 bits, 24 bits.",2963.25,5.1
1125,"And that's whey, dot,
dot, dot, if you've",2968.35,2.85
1126,"got a photograph, for instance,
that's three megabytes, which",2971.2,4.53
1127,"is 3 million bytes, well, odds are
there's 1 million pixels therein",2975.73,6.3
1128,"because you're using
three bytes per pixel",2982.03,3.21
1129,to represent each of those colors.,2985.24,1.468
1130,"That's a bit of an
oversimplification, but that's",2986.708,2.042
1131,"why images and photos are getting
bigger and bigger nowadays.",2988.75,3.09
1132,"Because we're throwing even
more pixels into the file.",2991.84,4.27
1133,Music--,2996.11,0.5
1134,[MUSIC PLAYING],2996.61,0.72
1135,"--how could you represent
music, digitally,",2997.33,2.55
1136,"using just 0's and 1's,
or numbers, really?",2999.88,4.04
1137,"Any instinct, whether a musician or not?",3003.92,3.79
1138,Yeah.,3007.71,1.033
1139,"AUDIENCE: The notes could
be represented by a number.",3008.743,2.317
1140,"DAVID J. MALAN: Yeah, so we can
just represent notes by a number.",3011.06,2.708
1141,"So A is some number, and B. And maybe
sharp or flat is some other number.",3013.768,3.892
1142,"But note might not be
quite enough for some--",3017.66,3.95
1143,yeah?,3021.61,0.5
1144,AUDIENCE: [INAUDIBLE].,3022.11,0.766
1145,"DAVID J. MALAN: Ah, OK.",3022.876,0.958
1146,"So one note-- one number to
represent the note, itself,",3023.834,2.636
1147,"the sound or the pitch; one other
number to represent the duration.",3026.47,4.35
1148,"In the context of piano, how long
is the human holding the key down?",3030.82,4.18
1149,"And maybe I can think of
a third, the loudness.",3035.0,2.33
1150,"How hard has the person
played that note?",3037.33,2.127
1151,"So, minimally, with
three numbers, you could",3039.457,1.833
1152,"imagine representing music, as well.",3041.29,2.202
1153,"And, indeed, that's very
well might be what computers",3043.492,2.208
1154,are doing when you listen to sound.,3045.7,2.02
1155,What about video?,3047.72,0.89
1156,"How could you represent videos, as well?",3048.61,3.15
1157,Yeah?,3051.76,0.51
1158,AUDIENCE: Through many images.,3052.27,1.19
1159,"DAVID J. MALAN: Yeah, many images.",3053.46,1.33
1160,"So if you've ever produced a film
or looked at some of the fine print,",3054.79,2.96
1161,"30 frames per second, FPS,
or 29 frames per second",3057.75,4.32
1162,"is just how many pictures
are flying across the screen.",3062.07,2.49
1163,"But that's really all a
video file is on a computer,",3064.56,2.25
1164,"lots of pictures moving so quickly in
front of us that you and I, our brains,",3066.81,3.66
1165,interpolate that as being actual motion.,3070.47,2.46
1166,"And, in fact, from
yesteryear, motion pictures,",3072.93,2.79
1167,"it's like pictures that are
giving the illusion of motion,",3075.72,2.85
1168,"even though there's only 30 or so
of them flying across the screen.",3078.57,3.34
1169,"So we have a way, now, to
represent information, both as",3081.91,2.96
1170,"input and output, whether it's numbers,
letters, images, anything else.",3084.87,4.38
1171,"Let's now focus on what's
inside of that black box,",3089.25,2.95
1172,"so to speak, wherein we have
algorithms, step-by-step instructions",3092.2,4.16
1173,for solving some problem.,3096.36,2.07
1174,"Now, what do I mean by ""algorithms""
or ""step-by-step instructions""?",3098.43,3.33
1175,"Well, maybe, if we were
to turn this into code--",3101.76,3.055
1176,"and that's how we'll connect
the dots, ultimately, today.",3104.815,2.375
1177,"Code is just the implementation,
in computers, of algorithms.",3107.19,4.29
1178,"An algorithm can be something
we do in the physical world.",3111.48,2.44
1179,"Code is how we implement that exact
same idea, in the context of a computer,",3113.92,4.26
1180,instead.,3118.18,0.63
1181,"And here, for instance, is a very
common application inside of a computer,",3118.81,3.342
1182,for your context.,3122.152,0.708
1183,This is the iOS version of the icon.,3122.86,2.04
1184,"And, typically, if you
click on that icon,",3124.9,2.063
1185,"you'll see something like
all of your contacts here,",3126.963,2.167
1186,"typically, alphabetical,
by first name or last name.",3129.13,3.12
1187,"And your phone or your computer lets
you often search for someone's name",3132.25,4.853
1188,at the very top.,3137.103,0.667
1189,"And it will autocomplete, and
it'll be pretty darn fast.",3137.77,2.85
1190,"But it'll be pretty darn fast
because the programmers who",3140.62,2.85
1191,"implemented that application are
looking for someone quickly for you.",3143.47,4.74
1192,"Now, I can do this old school style,
whereby we have one of these things",3148.21,5.19
1193,"from yesteryear, an actual phone book.",3153.4,2.44
1194,"So, in a physical phone book like
this, you might have 1,000 pages.",3155.84,3.32
1195,"And on every page are a bunch
of names and a bunch of numbers.",3159.16,3.28
1196,"And as I flip through this, I
could look for someone specific.",3162.44,3.05
1197,"So suppose I want to call John Harvard,
who's-- the first name, of course,",3165.49,3.52
1198,"starts with a J. Well, I
could just turn, page by page,",3169.01,3.71
1199,looking for John Harvard.,3172.72,1.87
1200,"And if he's not there, I
keep turning and turning.",3174.59,2.41
1201,So this is an algorithm.,3177.0,1.0
1202,"I'm stepping through the phone
book, one page at a time.",3178.0,2.79
1203,"Is it correct, this algorithm,
assuming I'm looking down?",3180.79,3.72
1204,"So, yeah.",3184.51,0.96
1205,"I mean, it's stupidly
slow because why am",3185.47,2.46
1206,"I wasting my time with the A's,
and the B's, and the so forth?",3187.93,2.655
1207,"I could probably take
bigger bites out of it.",3190.585,1.875
1208,But it is correct.,3192.46,0.75
1209,"And that's going to be one of the goals
of writing code, is to, of course,",3193.21,3.083
1210,"solve the problem you
care about correctly.",3196.293,1.807
1211,"So correctness goes without
saying, or else what's",3198.1,2.37
1212,"the point of writing the code
or solving-- or implementing",3200.47,2.61
